dim,CC,send,solo,min_range,max_range,invert
x,22,True,False,-0.8765640258789062,0.12726974487304688,False
y,23,True,False,1.298746109008789,1.602133870124817,False
z,24,False,False,-2.3873789310455322,-2.1870243549346924,False
roll,25,True,False,176.55850710202597,323.5619869337809,False
pitch,26,True,False,0.0030365446638711546,359.9952916508422,False
yaw,27,True,False,179.08486940984608,203.54425781925465,False
trigger,28,True,False,0.0,1.0,False
