dim,CC,send,solo,min_range,max_range,invert
x,22,True,False,-0.855710506439209,-0.2424461841583252,False
y,23,True,False,1.2175910472869873,1.5643508434295654,False
z,24,True,False,-0.9677474498748779,-0.7504279613494873,False
roll,25,True,False,174.65456906458292,317.5612919275996,False
pitch,26,True,False,10.907671414702747,223.36322308613944,False
yaw,27,True,False,183.75826747231633,232.02050922561338,True
trigger,28,True,False,0.0,1.0,False
